Datetime,Temperature_C,Load_MW,Demand_MW,Solar_MW,Wind_MW,Thermal_Gen_MW,Total_Generation_MW,Energy_Consumption_MWh,Price_USD_per_MWh
2021-01-01 00:00:00,2.72,32326.55,32326.55,0.0,2333.89,29992.66,32326.55,32326.55,30.6
2021-01-01 01:00:00,3.71,30377.46,30377.46,0.0,2937.22,27440.24,30377.46,30377.46,31.64
2021-01-01 02:00:00,1.22,32653.02,32653.02,0.0,3610.06,29042.96,32653.02,32653.02,26.08
2021-01-01 03:00:00,3.83,29247.82,29247.82,0.0,3474.65,25773.17,29247.82,29247.82,31.63
2021-01-01 04:00:00,4.66,29042.28,29042.28,0.0,2373.97,26668.31,29042.28,29042.28,36.32
2021-01-01 05:00:00,3.68,30876.91,30876.91,0.0,2165.05,28711.86,30876.91,30876.91,34.85
2021-01-01 06:00:00,2.53,34597.05,34597.05,0.0,2142.07,32454.98,34597.05,34597.05,37.2
2021-01-01 07:00:00,2.19,37634.87,37597.75,185.61,1434.54,36051.84,37634.87,37634.87,35.22
2021-01-01 08:00:00,0.78,40842.32,40770.42,359.48,472.76,40081.97,40842.32,40842.32,49.43
2021-01-01 09:00:00,-0.58,44031.16,43918.71,562.27,616.91,42964.44,44031.16,44031.16,66.67
2021-01-01 10:00:00,-0.46,45384.29,45253.34,654.73,11.74,44848.77,45384.29,45384.29,66.86
2021-01-01 11:00:00,-0.76,47012.26,46889.59,613.34,790.8,45730.79,47012.26,47012.26,67.37
2021-01-01 12:00:00,-1.88,49093.38,48936.44,784.71,670.39,47795.22,49093.38,49093.38,78.6
2021-01-01 13:00:00,-2.81,50901.99,50812.34,448.24,454.66,50088.74,50901.99,50901.99,89.22
2021-01-01 14:00:00,-3.08,52343.59,52231.8,558.91,212.08,51684.38,52343.59,52343.59,104.54
2021-01-01 15:00:00,-4.27,54702.38,54579.02,616.79,272.78,53936.17,54702.38,54702.38,113.9
2021-01-01 16:00:00,-4.72,55451.94,55375.61,381.66,627.2,54519.42,55451.94,55451.94,116.29
2021-01-01 17:00:00,-3.38,53772.25,53732.38,199.36,0.0,53612.76,53772.25,53772.25,111.91
2021-01-01 18:00:00,-2.97,52519.77,52519.77,0.0,61.88,52457.89,52519.77,52519.77,103.06
2021-01-01 19:00:00,-4.2,50920.08,50920.08,0.0,384.26,50535.82,50920.08,50920.08,94.23
2021-01-01 20:00:00,-3.64,48572.57,48572.57,0.0,1637.42,46935.15,48572.57,48572.57,79.32
2021-01-01 21:00:00,-1.24,43006.86,43006.86,0.0,1128.75,41878.11,43006.86,43006.86,60.59
2021-01-01 22:00:00,-0.39,39805.92,39805.92,0.0,2093.57,37712.35,39805.92,39805.92,47.3
2021-01-01 23:00:00,0.55,37688.74,37688.74,0.0,1279.59,36409.15,37688.74,37688.74,45.93
2021-01-02 00:00:00,2.49,36771.07,36771.07,0.0,1239.69,35531.38,36771.07,36771.07,41.02
2021-01-02 01:00:00,5.89,31669.53,31669.53,0.0,1934.4,29735.13,31669.53,31669.53,28.57
2021-01-02 02:00:00,4.83,32204.76,32204.76,0.0,1690.96,30513.8,32204.76,32204.76,31.43
2021-01-02 03:00:00,6.82,28760.27,28760.27,0.0,1036.63,27723.64,28760.27,28760.27,29.9
2021-01-02 04:00:00,4.39,31777.81,31777.81,0.0,1243.3,30534.51,31777.81,31777.81,29.81
2021-01-02 05:00:00,4.15,31596.56,31596.56,0.0,794.12,30802.44,31596.56,31596.56,34.44
2021-01-02 06:00:00,1.63,36093.07,36093.07,0.0,2180.46,33912.61,36093.07,36093.07,39.28
2021-01-02 07:00:00,2.99,35504.49,35473.64,154.27,2090.65,33290.43,35504.49,35504.49,38.81
2021-01-02 08:00:00,3.1,37437.41,37365.7,358.55,1992.84,35157.73,37437.41,37437.41,31.93
2021-01-02 09:00:00,3.44,39293.41,39182.15,556.32,1822.67,37025.68,39293.41,39293.41,45.88
2021-01-02 10:00:00,0.53,44599.03,44504.93,470.5,1927.72,42294.91,44599.03,44599.03,53.26
2021-01-02 11:00:00,0.34,47163.71,47042.44,606.35,1691.05,44987.58,47163.71,47163.71,66.86
2021-01-02 12:00:00,-1.65,50604.42,50429.21,876.05,668.7,49234.88,50604.42,50604.42,85.39
2021-01-02 13:00:00,-3.17,52172.65,52056.59,580.26,641.4,51067.04,52172.65,52172.65,93.83
2021-01-02 14:00:00,-2.88,52441.01,52314.47,632.7,1594.86,50339.99,52441.01,52441.01,99.14
2021-01-02 15:00:00,-1.87,50588.53,50475.22,566.53,1601.54,48533.77,50588.53,50588.53,86.37
2021-01-02 16:00:00,-1.77,51411.94,51358.74,265.98,1592.87,49606.29,51411.94,51411.94,87.99
2021-01-02 17:00:00,-2.65,52199.11,52156.84,211.34,1679.43,50350.61,52199.11,52199.11,89.75
2021-01-02 18:00:00,-3.4,53239.43,53239.43,0.0,2184.13,51055.3,53239.43,53239.43,95.49
2021-01-02 19:00:00,-0.35,48416.74,48416.74,0.0,2269.27,46147.47,48416.74,48416.74,69.62
2021-01-02 20:00:00,1.24,45196.46,45196.46,0.0,640.89,44555.57,45196.46,45196.46,67.79
2021-01-02 21:00:00,2.99,41156.43,41156.43,0.0,2788.72,38367.71,41156.43,41156.43,44.9
2021-01-02 22:00:00,6.82,33809.57,33809.57,0.0,2700.63,31108.94,33809.57,33809.57,36.44
2021-01-02 23:00:00,5.67,33642.4,33642.4,0.0,1885.79,31756.61,33642.4,33642.4,32.53
2021-01-03 00:00:00,9.71,28203.32,28203.32,0.0,1928.11,26275.21,28203.32,28203.32,29.99
2021-01-03 01:00:00,14.01,23989.39,23989.39,0.0,1693.0,22296.39,23989.39,23989.39,20.82
2021-01-03 02:00:00,15.22,23182.89,23182.89,0.0,2534.77,20648.12,23182.89,23182.89,24.71
2021-01-03 03:00:00,14.87,22526.44,22526.44,0.0,2337.03,20189.41,22526.44,22526.44,23.78
2021-01-03 04:00:00,12.07,25059.33,25059.33,0.0,2670.43,22388.9,25059.33,25059.33,23.79
2021-01-03 05:00:00,11.9,25192.1,25192.1,0.0,2271.76,22920.34,25192.1,25192.1,20.98
2021-01-03 06:00:00,9.3,29469.95,29469.95,0.0,2751.64,26718.31,29469.95,29469.95,30.81
2021-01-03 07:00:00,7.44,32759.45,32717.6,209.23,3371.05,29221.02,32759.45,32759.45,33.25
2021-01-03 08:00:00,5.19,37550.61,37468.61,410.01,3479.1,33743.51,37550.61,37550.61,30.16
2021-01-03 09:00:00,3.93,41090.66,40978.1,562.82,2732.06,37908.35,41090.66,41090.66,43.93
2021-01-03 10:00:00,4.2,41621.87,41510.07,559.01,653.23,40521.43,41621.87,41621.87,55.18
2021-01-03 11:00:00,1.59,46339.15,46184.0,775.76,1771.86,43946.69,46339.15,46339.15,60.91
2021-01-03 12:00:00,-1.29,51705.72,51538.91,834.04,334.53,50703.96,51705.72,51705.72,92.2
2021-01-03 13:00:00,-3.69,54446.22,54275.41,854.09,1406.52,52356.43,54446.22,54446.22,102.65
